index, gene name
12833,ENSG00000188243
12843,ENSG00000188315
12887,ENSG00000188641
12919,ENSG00000188846
12928,ENSG00000188906
12930,ENSG00000188921
13004,ENSG00000196072
13008,ENSG00000196092
13039,ENSG00000196209
13065,ENSG00000196329
13088,ENSG00000196405
13132,ENSG00000196549
13135,ENSG00000196562
13340,ENSG00000197548
13357,ENSG00000197601
13364,ENSG00000197629
13365,ENSG00000197632
13366,ENSG00000197635
13409,ENSG00000197872
13446,ENSG00000198034
13477,ENSG00000198162
13485,ENSG00000198189
13495,ENSG00000198242
13562,ENSG00000198589
13583,ENSG00000198692
13608,ENSG00000198755
13612,ENSG00000198771
13630,ENSG00000198818
13675,ENSG00000198909
13681,ENSG00000198918
13682,ENSG00000198919
13688,ENSG00000198932
13770,ENSG00000204103
13790,ENSG00000204186
13928,ENSG00000205133
13942,ENSG00000205268
13943,ENSG00000205269
14169,ENSG00000211782
14172,ENSG00000211786
14261,ENSG00000211890
14266,ENSG00000211896
14279,ENSG00000211946
14325,ENSG00000213088
14405,ENSG00000213626
14409,ENSG00000213658
14422,ENSG00000213741
14440,ENSG00000213903
14494,ENSG00000214212
14541,ENSG00000214717
14592,ENSG00000215301
14609,ENSG00000215580
14616,ENSG00000215788
14721,ENSG00000221869
14901,ENSG00000225101
14905,ENSG00000225151
14970,ENSG00000225972
15002,ENSG00000226278
15023,ENSG00000226555
15134,ENSG00000227825
15234,ENSG00000229117
15401,ENSG00000231340
15597,ENSG00000233913
15668,ENSG00000234851
15677,ENSG00000234969
15874,ENSG00000237674
15896,ENSG00000237973
15909,ENSG00000238222
16059,ENSG00000241343
16065,ENSG00000241399
16095,ENSG00000241859
16106,ENSG00000241978
16144,ENSG00000242498
16281,ENSG00000244437
16294,ENSG00000244617
16311,ENSG00000246082
16320,ENSG00000247626
16381,ENSG00000249274
16500,ENSG00000251369
16557,ENSG00000253719
16624,ENSG00000254772
16759,ENSG00000257093
16772,ENSG00000257335
16939,ENSG00000260078
16985,ENSG00000260916
17037,ENSG00000262102
17078,ENSG00000262902
17152,ENSG00000266028
17235,ENSG00000267793
17371,ENSG00000271361
17400,ENSG00000272325
17412,ENSG00000272602
17544,ENSG00000274512
17554,ENSG00000274588
17602,ENSG00000275063
17614,ENSG00000275131
17757,ENSG00000276386
17780,ENSG00000276566
17844,ENSG00000277150
17848,ENSG00000277203
17866,ENSG00000277438
17888,ENSG00000277734
18106,ENSG00000281981
18125,ENSG00000282130
18128,ENSG00000282150
18151,ENSG00000282297
18165,ENSG00000282399
18343,ENSG00000284691
18414,ENSG00000285250
